itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLK4,Devon,2018,230000.0,275000.0,222000.0,339000.0,225000.0,187000.0,137000.0,22159
TLK5,West of England,2018,277000.0,317995.0,272000.0,415000.0,285500.0,265000.0,215000.0,15019
TLK6,"North Somerset, Somerset and Dorset",2018,259995.0,280000.0,255000.0,370140.0,250000.0,210000.0,171750.0,28309
TLK7,Gloucestershire and Wiltshire,2018,255000.0,310500.0,244000.0,375000.0,249950.0,206000.0,145000.0,23878
TLL3,North Wales,2018,158000.0,205000.0,155000.0,220000.0,143000.0,116000.0,110950.0,10703
TLL4,Mid and South West Wales,2018,149995.0,175000.0,147500.0,220000.0,132500.0,110000.0,115000.0,13180
TLL5,South East Wales,2018,162950.0,232995.0,155000.0,279950.0,166000.0,122000.0,126000.0,23701
TLC3,Tees Valley,2019,139950.0,219950.0,128000.0,230000.0,130500.0,82000.0,80000.0,9809
TLC4,"Northumberland, Durham and Tyne & Wear",2019,144950.0,219950.0,132000.0,250000.0,141997.5,107000.0,95250.0,27907
TLD1,Cumbria,2019,167500.0,222500.0,160000.0,279950.0,162000.0,110000.0,120000.0,8618
TLD3,Greater Manchester,2019,170000.0,205880.0,165000.0,282250.0,182000.0,129995.0,152533.0,39150
TLD4,Lancashire,2019,150000.0,232995.0,139995.0,261950.0,152500.0,99000.0,95000.0,23912
TLD6,Cheshire,2019,218500.0,279850.0,201972.5,324995.0,190000.0,153000.0,130000.0,16616
TLD7,Merseyside,2019,150000.0,172995.0,147250.0,262500.0,166575.0,103500.0,105000.0,21479
TLE1,East Yorkshire and Northern Lincolnshire,2019,150000.0,220000.0,144000.0,248999.5,145000.0,109950.0,89000.0,14691
TLE2,North Yorkshire,2019,228000.0,279950.0,220000.0,325000.0,210000.0,185000.0,156500.0,14196
TLE3,South Yorkshire,2019,145000.0,180000.0,140000.0,235000.0,137500.0,112000.0,110000.0,19245
TLE4,West Yorkshire,2019,162000.0,233995.0,155000.0,288000.0,165000.0,124000.0,122000.0,34059
TLF1,Derbyshire and Nottinghamshire,2019,175000.0,248000.0,165000.0,268000.0,158000.0,127000.0,108997.0,34834
TLF2,"Leicestershire, Rutland and Northamptonshire",2019,223000.0,294995.0,210000.0,325000.0,207000.0,173000.0,127000.0,27721
TLF3,Lincolnshire,2019,185000.0,212995.0,180000.0,240000.0,161997.5,132000.0,104000.0,13029
TLG1,"Herefordshire, Worcestershire and Warwickshire",2019,247000.0,314999.5,232500.0,352500.0,225000.0,180000.0,142000.0,22453
TLG2,Shropshire and Staffordshire,2019,185000.0,254995.0,174950.0,285000.0,165750.0,135000.0,108000.0,25817
TLG3,West Midlands,2019,177000.0,211950.0,172500.0,312000.0,185000.0,155000.0,135000.0,32999
TLH2,Bedfordshire and Hertfordshire,2019,340497.5,365000.0,336000.0,539995.0,360000.0,312250.0,230000.0,25872
TLH3,Essex,2019,305950.0,355000.0,300000.0,435000.0,320000.0,275000.0,194000.0,28208
TLH4,Cambridgeshire and Peterborough,2019,270000.0,320000.0,260000.0,355000.0,242747.5,215000.0,186000.0,12783
