itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLD3,Greater Manchester,2024,235000.0,299950.0,230000.0,375500.0,250000.0,182000.0,183000.0,33401
TLD4,Lancashire,2024,185000.0,299245.0,175000.0,325000.0,191995.0,127000.0,110000.0,22578
TLD6,Cheshire,2024,275000.0,379995.0,260000.0,420000.0,250000.0,194000.0,143000.0,14578
TLD7,Merseyside,2024,195000.0,271247.5,190000.0,340000.0,219750.0,142000.0,134000.0,18575
TLE1,East Yorkshire and Northern Lincolnshire,2024,180500.0,270000.0,170000.0,295000.0,178000.0,127000.0,99950.0,13402
TLE2,North Yorkshire,2024,280000.0,325000.0,274000.0,410495.0,262500.0,226875.0,177750.0,13033
TLE3,South Yorkshire,2024,190000.0,269472.5,182000.0,305000.0,180000.0,147000.0,133500.0,17143
TLE4,West Yorkshire,2024,207500.0,294995.0,200000.0,364950.0,219950.0,156000.0,137500.0,29487
TLF1,Derbyshire and Nottinghamshire,2024,230000.0,290850.0,220000.0,330000.0,210000.0,168000.0,140000.0,30704
TLF2,"Leicestershire, Rutland and Northamptonshire",2024,277950.0,340000.0,265000.0,385000.0,257500.0,217000.0,140000.0,24990
TLF3,Lincolnshire,2024,227500.0,255789.5,220000.0,290000.0,193995.0,157500.0,112000.0,11377
TLG1,"Herefordshire, Worcestershire and Warwickshire",2024,298150.0,360000.0,288000.0,425000.0,277000.0,228000.0,155000.0,20662
TLG2,Shropshire and Staffordshire,2024,235000.0,304995.0,225000.0,350000.0,216000.0,167500.0,124497.5,22625
TLG3,West Midlands,2024,230000.0,283100.0,225000.0,385000.0,245000.0,200000.0,140000.0,27044
TLH2,Bedfordshire and Hertfordshire,2024,405000.0,465550.0,395000.0,625000.0,427500.0,370000.0,250000.0,23731
TLH3,Essex,2024,365000.0,447995.0,355000.0,510000.0,375000.0,325000.0,210000.0,25442
TLH4,Cambridgeshire and Peterborough,2024,325000.0,398995.5,311000.0,425525.0,295000.0,260000.0,210000.0,11733
TLH5,Norfolk,2024,275000.0,335000.0,265000.0,360000.0,254000.0,215000.0,150000.0,13770
TLH6,Suffolk,2024,287500.0,360000.0,275000.0,400000.0,271250.0,225250.0,157000.0,11182
TLI3,Inner London - West,2024,800000.0,1200000.0,765000.0,2800000.0,1760000.0,1355000.0,689125.0,13932
TLI4,Inner London - East,2024,540000.0,689000.0,522900.0,1350000.0,962250.5,754160.0,482950.0,21197
TLI5,Outer London - East and North East,2024,450000.0,430000.0,450000.0,721500.0,520000.0,475000.0,335000.0,17103
TLI6,Outer London - South,2024,480000.0,416500.0,480000.0,840000.0,615000.0,500000.0,323800.0,14504
TLI7,Outer London - West and North West,2024,550000.0,474412.5,554000.0,1020000.0,660000.0,630000.0,402500.0,17025
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2024,415000.0,466247.5,405000.0,617500.0,419950.0,352500.0,247000.0,32494
TLJ2,"Surrey, East and West Sussex",2024,420000.0,460000.0,415000.0,650000.0,442500.0,375000.0,252000.0,41636
TLJ3,Hampshire and Isle of Wight,2024,335000.0,440000.0,325000.0,525000.0,350000.0,287000.0,183000.0,26849
TLJ4,Kent,2024,340000.0,400000.0,330000.0,522500.0,360000.0,295000.0,209997.5,24868
TLK3,Cornwall and Isles of Scilly,2024,290000.0,335000.0,285000.0,410000.0,267500.0,234725.0,178500.0,8287
TLK4,Devon,2024,282500.0,350000.0,275000.0,425000.0,282500.0,234000.0,160000.0,18456
TLK5,West of England,2024,350000.0,410000.0,345000.0,530000.0,360775.0,348000.0,247500.0,12716
TLK6,"North Somerset, Somerset and Dorset",2024,315000.0,345962.0,310000.0,450000.0,300000.0,255000.0,192500.0,23878
TLK7,Gloucestershire and Wiltshire,2024,310000.0,369546.0,300000.0,462000.0,300000.0,254500.0,165000.0,20676
TLL3,North Wales,2024,200000.0,284995.0,199000.0,290000.0,190000.0,150000.0,120000.0,8784
TLL4,Mid and South West Wales,2024,200000.0,274995.0,195000.0,302500.0,185000.0,145000.0,125000.0,10825
TLL5,South East Wales,2024,221000.0,304995.0,212000.0,365995.0,235000.0,169950.0,154000.0,19065
