itl2_code,itl2_name,year,gdhi_per_head_gbp
TLH3,Essex,2001,13257
TLH4,Cambridgeshire and Peterborough,2001,12735
TLH5,Norfolk,2001,11257
TLH6,Suffolk,2001,11837
TLI3,Inner London - West,2001,25268
TLI4,Inner London - East,2001,13480
TLI5,Outer London - East and North East,2001,13122
TLI6,Outer London - South,2001,15104
TLI7,Outer London - West and North West,2001,15517
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,15247
TLJ2,"Surrey, East and West Sussex",2001,15701
TLJ3,Hampshire and Isle of Wight,2001,13235
TLJ4,Kent,2001,13074
TLK3,Cornwall and Isles of Scilly,2001,11071
TLK4,Devon,2001,11567
TLK5,West of England,2001,12629
TLK6,"North Somerset, Somerset and Dorset",2001,12924
TLK7,Gloucestershire and Wiltshire,2001,13302
TLL3,North Wales,2001,11012
TLL4,Mid and South West Wales,2001,10612
TLL5,South East Wales,2001,10652
TLM0,Eastern Scotland,2001,11157
TLM1,East Central Scotland,2001,12538
TLM2,Highlands and Islands,2001,10151
TLM3,West Central Scotland,2001,11089
TLM5,North Eastern Scotland,2001,12373
TLM9,Southern Scotland,2001,10554
TLN0,Northern Ireland,2001,9740
TLC3,Tees Valley,2002,10416
TLC4,"Northumberland, Durham and Tyne & Wear",2002,10706
TLD1,Cumbria,2002,11803
TLD3,Greater Manchester,2002,11224
TLD4,Lancashire,2002,10913
TLD6,Cheshire,2002,13370
TLD7,Merseyside,2002,10851
TLE1,East Yorkshire and Northern Lincolnshire,2002,10814
TLE2,North Yorkshire,2002,13061
TLE3,South Yorkshire,2002,10704
TLE4,West Yorkshire,2002,11141
TLF1,Derbyshire and Nottinghamshire,2002,11042
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,11843
TLF3,Lincolnshire,2002,11413
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,13121
TLG2,Shropshire and Staffordshire,2002,11538
TLG3,West Midlands,2002,10628
TLH2,Bedfordshire and Hertfordshire,2002,14694
TLH3,Essex,2002,13594
TLH4,Cambridgeshire and Peterborough,2002,13144
TLH5,Norfolk,2002,11390
TLH6,Suffolk,2002,12155
TLI3,Inner London - West,2002,24956
TLI4,Inner London - East,2002,13729
TLI5,Outer London - East and North East,2002,13335
TLI6,Outer London - South,2002,15366
TLI7,Outer London - West and North West,2002,15848
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,15584
TLJ2,"Surrey, East and West Sussex",2002,15995
TLJ3,Hampshire and Isle of Wight,2002,13568
TLJ4,Kent,2002,13386
TLK3,Cornwall and Isles of Scilly,2002,11447
TLK4,Devon,2002,11803
TLK5,West of England,2002,12847
TLK6,"North Somerset, Somerset and Dorset",2002,13064
TLK7,Gloucestershire and Wiltshire,2002,13397
TLL3,North Wales,2002,11358
TLL4,Mid and South West Wales,2002,10936
TLL5,South East Wales,2002,10993
TLM0,Eastern Scotland,2002,11458
TLM1,East Central Scotland,2002,12978
TLM2,Highlands and Islands,2002,10547
TLM3,West Central Scotland,2002,11393
TLM5,North Eastern Scotland,2002,12748
TLM9,Southern Scotland,2002,11083
TLN0,Northern Ireland,2002,10215
TLC3,Tees Valley,2003,10667
TLC4,"Northumberland, Durham and Tyne & Wear",2003,11047
TLD1,Cumbria,2003,12190
TLD3,Greater Manchester,2003,11513
TLD4,Lancashire,2003,11247
TLD6,Cheshire,2003,13961
TLD7,Merseyside,2003,11244
TLE1,East Yorkshire and Northern Lincolnshire,2003,11191
TLE2,North Yorkshire,2003,13422
TLE3,South Yorkshire,2003,11080
TLE4,West Yorkshire,2003,11504
TLF1,Derbyshire and Nottinghamshire,2003,11532
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,12263
TLF3,Lincolnshire,2003,11800
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,13522
TLG2,Shropshire and Staffordshire,2003,11959
TLG3,West Midlands,2003,10841
