itl2_code,itl2_name,year,gva_real_gbp_m
TLH4,Cambridgeshire and Peterborough,2007,25269
TLH5,Norfolk,2007,18916
TLH6,Suffolk,2007,17649
TLI3,Inner London - West,2007,181353
TLI4,Inner London - East,2007,98334
TLI5,Outer London - East and North East,2007,38855
TLI6,Outer London - South,2007,35806
TLI7,Outer London - West and North West,2007,65701
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,80421
TLJ2,"Surrey, East and West Sussex",2007,81985
TLJ3,Hampshire and Isle of Wight,2007,54983
TLJ4,Kent,2007,41540
TLK3,Cornwall and Isles of Scilly,2007,10887
TLK4,Devon,2007,25375
TLK5,West of England,2007,29414
TLK6,"North Somerset, Somerset and Dorset",2007,35445
TLK7,Gloucestershire and Wiltshire,2007,39213
TLL3,North Wales,2007,14906
TLL4,Mid and South West Wales,2007,17310
TLL5,South East Wales,2007,32974
TLM0,Eastern Scotland,2007,20757
TLM1,East Central Scotland,2007,35582
TLM2,Highlands and Islands,2007,11914
TLM3,West Central Scotland,2007,38555
TLM5,North Eastern Scotland,2007,17204
TLM9,Southern Scotland,2007,20794
TLN0,Northern Ireland,2007,44531
TLC3,Tees Valley,2008,13419
TLC4,"Northumberland, Durham and Tyne & Wear",2008,41014
TLD1,Cumbria,2008,12586
TLD3,Greater Manchester,2008,65935
TLD4,Lancashire,2008,34700
TLD6,Cheshire,2008,31071
TLD7,Merseyside,2008,34992
TLE1,East Yorkshire and Northern Lincolnshire,2008,22537
TLE2,North Yorkshire,2008,22631
TLE3,South Yorkshire,2008,27435
TLE4,West Yorkshire,2008,55598
TLF1,Derbyshire and Nottinghamshire,2008,50096
TLF2,"Leicestershire, Rutland and Northamptonshire",2008,45492
TLF3,Lincolnshire,2008,15926
TLG1,"Herefordshire, Worcestershire and Warwickshire",2008,31853
TLG2,Shropshire and Staffordshire,2008,35382
TLG3,West Midlands,2008,66458
TLH2,Bedfordshire and Hertfordshire,2008,51488
TLH3,Essex,2008,42038
TLH4,Cambridgeshire and Peterborough,2008,25206
TLH5,Norfolk,2008,19149
TLH6,Suffolk,2008,17614
TLI3,Inner London - West,2008,183300
TLI4,Inner London - East,2008,101074
TLI5,Outer London - East and North East,2008,37964
TLI6,Outer London - South,2008,34792
TLI7,Outer London - West and North West,2008,64073
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,82002
TLJ2,"Surrey, East and West Sussex",2008,83609
TLJ3,Hampshire and Isle of Wight,2008,55984
TLJ4,Kent,2008,42763
TLK3,Cornwall and Isles of Scilly,2008,10987
TLK4,Devon,2008,25219
TLK5,West of England,2008,30027
TLK6,"North Somerset, Somerset and Dorset",2008,35810
TLK7,Gloucestershire and Wiltshire,2008,39573
TLL3,North Wales,2008,14565
TLL4,Mid and South West Wales,2008,16866
TLL5,South East Wales,2008,32064
TLM0,Eastern Scotland,2008,20604
TLM1,East Central Scotland,2008,35497
TLM2,Highlands and Islands,2008,12252
TLM3,West Central Scotland,2008,39267
TLM5,North Eastern Scotland,2008,18220
TLM9,Southern Scotland,2008,21073
TLN0,Northern Ireland,2008,43255
TLC3,Tees Valley,2009,13184
TLC4,"Northumberland, Durham and Tyne & Wear",2009,39340
TLD1,Cumbria,2009,11902
TLD3,Greater Manchester,2009,64623
TLD4,Lancashire,2009,32199
TLD6,Cheshire,2009,29679
TLD7,Merseyside,2009,34559
TLE1,East Yorkshire and Northern Lincolnshire,2009,21460
TLE2,North Yorkshire,2009,21393
TLE3,South Yorkshire,2009,26176
TLE4,West Yorkshire,2009,53317
TLF1,Derbyshire and Nottinghamshire,2009,47372
TLF2,"Leicestershire, Rutland and Northamptonshire",2009,43026
TLF3,Lincolnshire,2009,15062
