itl2_code,itl2_name,year,affordability_ratio_workplace
TLI3,Inner London - West,2001,9.691666666666666
TLI4,Inner London - East,2001,6.3475
TLI5,Outer London - East and North East,2001,5.498571428571428
TLI6,Outer London - South,2001,7.188000000000001
TLI7,Outer London - West and North West,2001,7.114285714285714
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,6.147692307692308
TLJ2,"Surrey, East and West Sussex",2001,6.701666666666665
TLJ3,Hampshire and Isle of Wight,2001,5.6935714285714285
TLJ4,Kent,2001,5.483846153846155
TLK3,Cornwall and Isles of Scilly,2001,
TLK4,Devon,2001,5.458999999999999
TLK5,West of England,2001,5.046666666666667
TLK6,"North Somerset, Somerset and Dorset",2001,4.84
TLK7,Gloucestershire and Wiltshire,2001,5.0528571428571425
TLL3,North Wales,2001,3.3666666666666667
TLL4,Mid and South West Wales,2001,3.346666666666667
TLL5,South East Wales,2001,3.2739999999999996
TLC3,Tees Valley,2002,2.9539999999999997
TLC4,"Northumberland, Durham and Tyne & Wear",2002,3.29
TLD1,Cumbria,2002,
TLD3,Greater Manchester,2002,3.4540000000000006
TLD4,Lancashire,2002,3.3085714285714287
TLD6,Cheshire,2002,4.5
TLD7,Merseyside,2002,3.408333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2002,2.9075
TLE2,North Yorkshire,2002,4.99
TLE3,South Yorkshire,2002,3.0800000000000005
TLE4,West Yorkshire,2002,3.3200000000000003
TLF1,Derbyshire and Nottinghamshire,2002,3.9729411764705884
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,5.108888888888888
TLF3,Lincolnshire,2002,4.397142857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,6.232500000000001
TLG2,Shropshire and Staffordshire,2002,4.319999999999999
TLG3,West Midlands,2002,3.9757142857142864
TLH2,Bedfordshire and Hertfordshire,2002,6.23
TLH3,Essex,2002,6.28142857142857
TLH4,Cambridgeshire and Peterborough,2002,5.82
TLH5,Norfolk,2002,5.2542857142857144
TLH6,Suffolk,2002,5.976666666666667
TLI3,Inner London - West,2002,9.961666666666668
