itl2_code,itl2_name,year,median_price,n_sales
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,162950.0,24935
TLG2,Shropshire and Staffordshire,2005,127000.0,27947
TLG3,West Midlands,2005,124000.0,43115
TLH2,Bedfordshire and Hertfordshire,2005,187000.0,34324
TLH3,Essex,2005,174995.0,35630
TLH4,Cambridgeshire and Peterborough,2005,162000.0,16267
TLH5,Norfolk,2005,145500.0,16973
TLH6,Suffolk,2005,150000.0,15373
TLI3,Inner London - West,2005,334000.0,22838
TLI4,Inner London - East,2005,221000.0,32661
TLI5,Outer London - East and North East,2005,195000.0,29993
TLI6,Outer London - South,2005,217000.0,23584
TLI7,Outer London - West and North West,2005,242995.0,29529
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,204000.0,45032
TLJ2,"Surrey, East and West Sussex",2005,212000.0,58827
TLJ3,Hampshire and Isle of Wight,2005,176000.0,38443
TLJ4,Kent,2005,167000.0,33246
TLK3,Cornwall and Isles of Scilly,2005,175000.0,9715
TLK4,Devon,2005,165000.0,23172
TLK5,West of England,2005,160000.0,17101
TLK6,"North Somerset, Somerset and Dorset",2005,179000.0,32583
TLK7,Gloucestershire and Wiltshire,2005,165000.0,26020
TLL3,North Wales,2005,129950.0,10641
TLL4,Mid and South West Wales,2005,125000.0,13455
TLL5,South East Wales,2005,122500.0,24212
TLC3,Tees Valley,2006,115000.0,16454
TLC4,"Northumberland, Durham and Tyne & Wear",2006,120000.0,43945
TLD1,Cumbria,2006,133000.0,11788
TLD3,Greater Manchester,2006,125000.0,62127
TLD4,Lancashire,2006,119500.0,39031
TLD6,Cheshire,2006,157250.0,21631
TLD7,Merseyside,2006,125000.0,29666
TLE1,East Yorkshire and Northern Lincolnshire,2006,115000.0,23768
TLE2,North Yorkshire,2006,172000.0,19438
TLE3,South Yorkshire,2006,118000.0,27394
TLE4,West Yorkshire,2006,127000.0,55102
TLF1,Derbyshire and Nottinghamshire,2006,128000.0,47394
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,146000.0,42432
TLF3,Lincolnshire,2006,137500.0,18991
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,170000.0,31134
TLG2,Shropshire and Staffordshire,2006,137000.0,34288
TLG3,West Midlands,2006,130000.0,51904
TLH2,Bedfordshire and Hertfordshire,2006,199950.0,43191
TLH3,Essex,2006,182000.0,44441
TLH4,Cambridgeshire and Peterborough,2006,169000.0,20570
TLH5,Norfolk,2006,155000.0,21737
TLH6,Suffolk,2006,159995.0,19185
TLI3,Inner London - West,2006,365687.5,28858
TLI4,Inner London - East,2006,237000.0,40370
TLI5,Outer London - East and North East,2006,206000.0,36393
TLI6,Outer London - South,2006,230000.0,30527
TLI7,Outer London - West and North West,2006,250000.0,37423
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,219000.0,57101
TLJ2,"Surrey, East and West Sussex",2006,223500.0,75297
TLJ3,Hampshire and Isle of Wight,2006,184950.0,48978
TLJ4,Kent,2006,175000.0,43545
TLK3,Cornwall and Isles of Scilly,2006,185000.0,13320
TLK4,Devon,2006,174000.0,30141
TLK5,West of England,2006,170000.0,21569
TLK6,"North Somerset, Somerset and Dorset",2006,186000.0,42364
TLK7,Gloucestershire and Wiltshire,2006,173000.0,33646
TLL3,North Wales,2006,137995.0,13197
TLL4,Mid and South West Wales,2006,131300.0,16935
TLL5,South East Wales,2006,130000.0,30119
TLC3,Tees Valley,2007,121000.0,16158
TLC4,"Northumberland, Durham and Tyne & Wear",2007,123000.0,45163
TLD1,Cumbria,2007,141500.0,11739
TLD3,Greater Manchester,2007,132500.0,61869
TLD4,Lancashire,2007,125000.0,36269
TLD6,Cheshire,2007,164220.0,20860
TLD7,Merseyside,2007,129000.0,29596
TLE1,East Yorkshire and Northern Lincolnshire,2007,121500.0,22323
TLE2,North Yorkshire,2007,182500.0,17785
TLE3,South Yorkshire,2007,124000.0,27530
TLE4,West Yorkshire,2007,135000.0,52346
