itl2_code,itl2_name,year,affordability_ratio_residence
TLH3,Essex,2008,7.455
TLH4,Cambridgeshire and Peterborough,2008,7.2633333333333345
TLH5,Norfolk,2008,7.371428571428572
TLH6,Suffolk,2008,7.522
TLI3,Inner London - West,2008,12.440000000000001
TLI4,Inner London - East,2008,9.24625
TLI5,Outer London - East and North East,2008,7.6899999999999995
TLI6,Outer London - South,2008,8.254000000000001
TLI7,Outer London - West and North West,2008,9.290000000000001
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,8.077692307692306
TLJ2,"Surrey, East and West Sussex",2008,8.689583333333331
TLJ3,Hampshire and Isle of Wight,2008,7.8864285714285725
TLJ4,Kent,2008,7.300000000000001
TLK3,Cornwall and Isles of Scilly,2008,9.33
TLK4,Devon,2008,8.955000000000002
TLK5,West of England,2008,7.746666666666667
TLK6,"North Somerset, Somerset and Dorset",2008,8.5625
TLK7,Gloucestershire and Wiltshire,2008,7.60875
TLL3,North Wales,2008,6.588333333333332
TLL4,Mid and South West Wales,2008,6.829999999999999
TLL5,South East Wales,2008,5.711
TLC3,Tees Valley,2009,4.918000000000001
TLC4,"Northumberland, Durham and Tyne & Wear",2009,5.241428571428571
TLD1,Cumbria,2009,5.76
TLD3,Greater Manchester,2009,5.066000000000001
TLD4,Lancashire,2009,5.142142857142857
TLD6,Cheshire,2009,5.626666666666668
TLD7,Merseyside,2009,5.175
TLE1,East Yorkshire and Northern Lincolnshire,2009,4.5825
TLE2,North Yorkshire,2009,6.5649999999999995
TLE3,South Yorkshire,2009,4.705
TLE4,West Yorkshire,2009,5.101999999999999
TLF1,Derbyshire and Nottinghamshire,2009,5.089411764705883
TLF2,"Leicestershire, Rutland and Northamptonshire",2009,5.804545454545454
TLF3,Lincolnshire,2009,5.698571428571428
TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,6.4558333333333335
TLG2,Shropshire and Staffordshire,2009,5.657272727272728
TLG3,West Midlands,2009,5.46
TLH2,Bedfordshire and Hertfordshire,2009,6.832307692307692
TLH3,Essex,2009,6.592142857142858
TLH4,Cambridgeshire and Peterborough,2009,6.358333333333333
TLH5,Norfolk,2009,6.5371428571428565
TLH6,Suffolk,2009,6.384
TLI3,Inner London - West,2009,11.340000000000002
TLI4,Inner London - East,2009,8.399999999999999
TLI5,Outer London - East and North East,2009,6.778571428571428
TLI6,Outer London - South,2009,7.303999999999999
TLI7,Outer London - West and North West,2009,8.532857142857143
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,7.2930769230769235
TLJ2,"Surrey, East and West Sussex",2009,7.780416666666665
TLJ3,Hampshire and Isle of Wight,2009,6.907857142857144
TLJ4,Kent,2009,6.3961538461538465
TLK3,Cornwall and Isles of Scilly,2009,16.705000000000002
TLK4,Devon,2009,7.961
TLK5,West of England,2009,6.949999999999999
TLK6,"North Somerset, Somerset and Dorset",2009,7.427499999999999
TLK7,Gloucestershire and Wiltshire,2009,6.7075000000000005
TLL3,North Wales,2009,5.851666666666667
TLL4,Mid and South West Wales,2009,6.210000000000001
TLL5,South East Wales,2009,5.087000000000001
TLC3,Tees Valley,2010,5.238
TLC4,"Northumberland, Durham and Tyne & Wear",2010,5.422857142857143
TLD1,Cumbria,2010,5.91
TLD3,Greater Manchester,2010,5.236
TLD4,Lancashire,2010,5.3585714285714285
TLD6,Cheshire,2010,6.036666666666666
TLD7,Merseyside,2010,5.2
TLE1,East Yorkshire and Northern Lincolnshire,2010,4.8525
TLE2,North Yorkshire,2010,7.07
TLE3,South Yorkshire,2010,4.9275
TLE4,West Yorkshire,2010,5.4959999999999996
TLF1,Derbyshire and Nottinghamshire,2010,5.4141176470588235
TLF2,"Leicestershire, Rutland and Northamptonshire",2010,6.284545454545454
TLF3,Lincolnshire,2010,5.885714285714285
TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,7.053333333333332
TLG2,Shropshire and Staffordshire,2010,5.846363636363637
TLG3,West Midlands,2010,5.72
TLH2,Bedfordshire and Hertfordshire,2010,7.485384615384614
TLH3,Essex,2010,7.061428571428572
TLH4,Cambridgeshire and Peterborough,2010,6.555
TLH5,Norfolk,2010,6.9485714285714275
TLH6,Suffolk,2010,6.888
TLI3,Inner London - West,2010,12.558
TLI4,Inner London - East,2010,9.084999999999999
TLI5,Outer London - East and North East,2010,7.2457142857142856
TLI6,Outer London - South,2010,7.946
TLI7,Outer London - West and North West,2010,9.389999999999999
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,7.7846153846153845
TLJ2,"Surrey, East and West Sussex",2010,8.41625
TLJ3,Hampshire and Isle of Wight,2010,7.4750000000000005
TLJ4,Kent,2010,6.9569230769230765
TLK3,Cornwall and Isles of Scilly,2010,8.38
TLK4,Devon,2010,8.626
TLK5,West of England,2010,7.47
TLK6,"North Somerset, Somerset and Dorset",2010,8.075
TLK7,Gloucestershire and Wiltshire,2010,7.50125
TLL3,North Wales,2010,6.096666666666667
TLL4,Mid and South West Wales,2010,6.233333333333333
TLL5,South East Wales,2010,5.215999999999999
TLC3,Tees Valley,2011,4.83
TLC4,"Northumberland, Durham and Tyne & Wear",2011,5.154285714285714
TLD1,Cumbria,2011,5.9350000000000005
TLD3,Greater Manchester,2011,5.135
TLD4,Lancashire,2011,5.07
TLD6,Cheshire,2011,6.033333333333332
TLD7,Merseyside,2011,4.941666666666666
TLE1,East Yorkshire and Northern Lincolnshire,2011,4.635
TLE2,North Yorkshire,2011,7.12
TLE3,South Yorkshire,2011,4.73
TLE4,West Yorkshire,2011,5.35
TLF1,Derbyshire and Nottinghamshire,2011,5.344705882352941
TLF2,"Leicestershire, Rutland and Northamptonshire",2011,6.094545454545454
TLF3,Lincolnshire,2011,5.847142857142858
TLG1,"Herefordshire, Worcestershire and Warwickshire",2011,6.945833333333334
TLG2,Shropshire and Staffordshire,2011,5.717272727272727
TLG3,West Midlands,2011,5.567142857142857
TLH2,Bedfordshire and Hertfordshire,2011,7.60076923076923
TLH3,Essex,2011,7.013571428571429
TLH4,Cambridgeshire and Peterborough,2011,6.628333333333333
TLH5,Norfolk,2011,6.541428571428573
TLH6,Suffolk,2011,6.5920000000000005
TLI3,Inner London - West,2011,12.911666666666669
TLI4,Inner London - East,2011,9.258750000000001
TLI5,Outer London - East and North East,2011,7.6171428571428565
TLI6,Outer London - South,2011,8.172
TLI7,Outer London - West and North West,2011,9.581428571428571
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2011,7.78
TLJ2,"Surrey, East and West Sussex",2011,8.514166666666666
TLJ3,Hampshire and Isle of Wight,2011,7.509285714285715
TLJ4,Kent,2011,6.600769230769231
TLK3,Cornwall and Isles of Scilly,2011,8.6
TLK4,Devon,2011,8.324000000000002
TLK5,West of England,2011,7.463333333333334
TLK6,"North Somerset, Somerset and Dorset",2011,7.802499999999999
TLK7,Gloucestershire and Wiltshire,2011,7.19125
TLL3,North Wales,2011,6.006666666666667
TLL4,Mid and South West Wales,2011,5.978333333333333
TLL5,South East Wales,2011,5.06
TLC3,Tees Valley,2012,4.824
TLC4,"Northumberland, Durham and Tyne & Wear",2012,5.011428571428572
TLD1,Cumbria,2012,5.755
TLD3,Greater Manchester,2012,5.0009999999999994
TLD4,Lancashire,2012,5.048571428571429
TLD6,Cheshire,2012,5.919999999999999
TLD7,Merseyside,2012,4.88
TLE1,East Yorkshire and Northern Lincolnshire,2012,4.5325
TLE2,North Yorkshire,2012,6.91
TLE3,South Yorkshire,2012,4.78
TLE4,West Yorkshire,2012,5.124
TLF1,Derbyshire and Nottinghamshire,2012,5.2
TLF2,"Leicestershire, Rutland and Northamptonshire",2012,6.145454545454545
TLF3,Lincolnshire,2012,5.645714285714285
TLG1,"Herefordshire, Worcestershire and Warwickshire",2012,6.9558333333333335
TLG2,Shropshire and Staffordshire,2012,5.618181818181818
TLG3,West Midlands,2012,5.3500000000000005
TLH2,Bedfordshire and Hertfordshire,2012,7.68846153846154
TLH3,Essex,2012,6.9542857142857155
TLH4,Cambridgeshire and Peterborough,2012,6.75
TLH5,Norfolk,2012,6.524285714285715
TLH6,Suffolk,2012,6.934
TLI3,Inner London - West,2012,14.434000000000001
TLI4,Inner London - East,2012,9.4325
TLI5,Outer London - East and North East,2012,7.471428571428571
TLI6,Outer London - South,2012,8.032
TLI7,Outer London - West and North West,2012,9.737142857142857
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2012,7.858461538461539
TLJ2,"Surrey, East and West Sussex",2012,8.430000000000001
TLJ3,Hampshire and Isle of Wight,2012,7.4142857142857155
TLJ4,Kent,2012,6.786153846153846
TLK3,Cornwall and Isles of Scilly,2012,8.38
TLK4,Devon,2012,8.142
TLK5,West of England,2012,7.343333333333334
TLK6,"North Somerset, Somerset and Dorset",2012,7.6325
TLK7,Gloucestershire and Wiltshire,2012,7.103750000000001
TLL3,North Wales,2012,5.911666666666666
TLL4,Mid and South West Wales,2012,6.131666666666667
TLL5,South East Wales,2012,5.052999999999999
TLC3,Tees Valley,2013,4.9399999999999995
TLC4,"Northumberland, Durham and Tyne & Wear",2013,5.088571428571428
TLD1,Cumbria,2013,5.3149999999999995
TLD3,Greater Manchester,2013,5.031000000000001
TLD4,Lancashire,2013,5.049285714285714
TLD6,Cheshire,2013,6.016666666666667
TLD7,Merseyside,2013,4.808333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2013,4.4775
TLE2,North Yorkshire,2013,6.785
TLE3,South Yorkshire,2013,4.7175
TLE4,West Yorkshire,2013,5.096000000000001
TLF1,Derbyshire and Nottinghamshire,2013,5.2435294117647056
TLF2,"Leicestershire, Rutland and Northamptonshire",2013,6.214545454545456
TLF3,Lincolnshire,2013,5.49
TLG1,"Herefordshire, Worcestershire and Warwickshire",2013,6.724166666666666
TLG2,Shropshire and Staffordshire,2013,5.489090909090909
TLG3,West Midlands,2013,5.36
TLH2,Bedfordshire and Hertfordshire,2013,7.802307692307692
TLH3,Essex,2013,7.1049999999999995
TLH4,Cambridgeshire and Peterborough,2013,6.915
TLH5,Norfolk,2013,6.692857142857143
TLH6,Suffolk,2013,6.814
TLI3,Inner London - West,2013,16.184
TLI4,Inner London - East,2013,10.032500000000002
TLI5,Outer London - East and North East,2013,7.737142857142857
TLI6,Outer London - South,2013,8.406
TLI7,Outer London - West and North West,2013,10.335714285714285
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2013,7.99153846153846
TLJ2,"Surrey, East and West Sussex",2013,8.781666666666665
TLJ3,Hampshire and Isle of Wight,2013,7.425000000000002
TLJ4,Kent,2013,6.986153846153846
TLK3,Cornwall and Isles of Scilly,2013,8.32
TLK4,Devon,2013,8.045
TLK5,West of England,2013,7.22
TLK6,"North Somerset, Somerset and Dorset",2013,7.49
TLK7,Gloucestershire and Wiltshire,2013,6.995000000000001
TLL3,North Wales,2013,5.585
TLL4,Mid and South West Wales,2013,5.806666666666666
TLL5,South East Wales,2013,5.012
TLC3,Tees Valley,2014,4.944
TLC4,"Northumberland, Durham and Tyne & Wear",2014,5.214285714285714
TLD1,Cumbria,2014,5.5600000000000005
TLD3,Greater Manchester,2014,5.328
TLD4,Lancashire,2014,5.1621428571428565
TLD6,Cheshire,2014,6.173333333333333
TLD7,Merseyside,2014,4.983333333333334
TLE1,East Yorkshire and Northern Lincolnshire,2014,4.795
TLE2,North Yorkshire,2014,7.21
TLE3,South Yorkshire,2014,4.95
TLE4,West Yorkshire,2014,5.220000000000001
TLF1,Derbyshire and Nottinghamshire,2014,5.440588235294117
TLF2,"Leicestershire, Rutland and Northamptonshire",2014,6.56
TLF3,Lincolnshire,2014,5.975714285714287
TLG1,"Herefordshire, Worcestershire and Warwickshire",2014,7.305
TLG2,Shropshire and Staffordshire,2014,5.825454545454545
TLG3,West Midlands,2014,5.692857142857143
TLH2,Bedfordshire and Hertfordshire,2014,8.600769230769231
TLH3,Essex,2014,7.482142857142857
TLH4,Cambridgeshire and Peterborough,2014,7.425
TLH5,Norfolk,2014,6.861428571428571
