itl2_code,itl2_name,year,gva_real_gbp_m,population,gva_per_capita_gbp
TLE4,West Yorkshire,2013,55944,2255832.0,24799.719128020173
TLF1,Derbyshire and Nottinghamshire,2013,52039,2131614.0,24412.956567183366
TLF2,"Leicestershire, Rutland and Northamptonshire",2013,46719,1747053.0,26741.60429019612
TLF3,Lincolnshire,2013,16169,725901.0,22274.38727870605
TLG1,"Herefordshire, Worcestershire and Warwickshire",2013,35367,1311796.0,26960.746945409195
TLG2,Shropshire and Staffordshire,2013,35750,1583336.0,22578.909340784267
TLG3,West Midlands,2013,67933,2781813.0,24420.404966113827
TLH2,Bedfordshire and Hertfordshire,2013,50991,1780402.0,28640.161042281463
TLH3,Essex,2013,41813,1756952.0,23798.601213920472
TLH4,Cambridgeshire and Peterborough,2013,25805,827484.0,31184.893000952285
TLH5,Norfolk,2013,20401,870771.0,23428.66264494339
TLH6,Suffolk,2013,18580,734875.0,25283.211430515395
TLI3,Inner London - West,2013,196931,1104481.0,178301.84493893513
TLI4,Inner London - East,2013,111159,2218849.0,50097.5956453098
TLI5,Outer London - East and North East,2013,39381,1818652.0,21653.950288455406
TLI6,Outer London - South,2013,33690,1262477.0,26685.63466898803
TLI7,Outer London - West and North West,2013,68395,2034528.0,33617.13380204156
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2013,90815,2334187.0,38906.48007207649
TLJ2,"Surrey, East and West Sussex",2013,87142,2790609.0,31226.875567304483
TLJ3,Hampshire and Isle of Wight,2013,60425,1923481.0,31414.399206438742
TLJ4,Kent,2013,43204,1761105.0,24532.32487557528
TLK3,Cornwall and Isles of Scilly,2013,11098,542275.0,20465.630906827715
TLK4,Devon,2013,26171,1146900.0,22818.903130176997
TLK5,West of England,2013,31370,885894.0,35410.557019237065
TLK6,"North Somerset, Somerset and Dorset",2013,35433,1499002.0,23637.726967675826
TLK7,Gloucestershire and Wiltshire,2013,40386,1300712.0,31049.148466378414
TLL3,North Wales,2013,15501,688741.0,22506.283203700666
TLL4,Mid and South West Wales,2013,17310,893690.0,19369.132473228972
TLL5,South East Wales,2013,33837,1488627.0,22730.341448865296
TLM0,Eastern Scotland,2013,21431,918780.0,23325.496854524477
TLM1,East Central Scotland,2013,35805,1001730.0,35743.16432571651
TLM2,Highlands and Islands,2013,13139,624630.0,21034.852632758593
TLM3,West Central Scotland,2013,39539,1473170.0,26839.40074804673
TLM5,North Eastern Scotland,2013,19994,483390.0,41362.047208258344
TLM9,Southern Scotland,2013,20801,952200.0,21845.20058811174
TLN0,Northern Ireland,2013,42811,1831677.0,23372.570600602616
TLC3,Tees Valley,2014,14350,667432.0,21500.31763535461
TLC4,"Northumberland, Durham and Tyne & Wear",2014,41835,1943050.0,21530.58336121047
