itl2_code,itl2_name,year,population
TLM1,East Central Scotland,1995,900710.0
TLM2,Highlands and Islands,1995,597430.0
TLM3,West Central Scotland,1995,1485850.0
TLM5,North Eastern Scotland,1995,445950.0
TLM9,Southern Scotland,1995,933600.0
TLN0,Northern Ireland,1995,0.0
TLC3,Tees Valley,1996,654622.0
TLC4,"Northumberland, Durham and Tyne & Wear",1996,1921828.0
TLD1,Cumbria,1996,486746.0
TLD3,Greater Manchester,1996,2531355.0
TLD4,Lancashire,1996,1412175.0
TLD6,Cheshire,1996,855748.0
TLD7,Merseyside,1996,1523622.0
TLE1,East Yorkshire and Northern Lincolnshire,1996,880232.0
TLE2,North Yorkshire,1996,728173.0
TLE3,South Yorkshire,1996,1278632.0
TLE4,West Yorkshire,1996,2074217.0
TLF1,Derbyshire and Nottinghamshire,1996,1969969.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1996,1520871.0
TLF3,Lincolnshire,1996,617230.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1996,1190112.0
TLG2,Shropshire and Staffordshire,1996,1466948.0
TLG3,West Midlands,1996,2605986.0
TLH2,Bedfordshire and Hertfordshire,1996,1547857.0
TLH3,Essex,1996,1571340.0
TLH4,Cambridgeshire and Peterborough,1996,688529.0
TLH5,Norfolk,1996,769295.0
TLH6,Suffolk,1996,655739.0
TLI3,Inner London - West,1996,927416.0
TLI4,Inner London - East,1996,1728942.0
TLI5,Outer London - East and North East,1996,1529761.0
TLI6,Outer London - South,1996,1116721.0
TLI7,Outer London - West and North West,1996,1671567.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1996,2040279.0
TLJ2,"Surrey, East and West Sussex",1996,2481668.0
TLJ3,Hampshire and Isle of Wight,1996,1739509.0
TLJ4,Kent,1996,1538950.0
TLK3,Cornwall and Isles of Scilly,1996,480880.0
TLK4,Devon,1996,1048048.0
TLK5,West of England,1996,785802.0
TLK6,"North Somerset, Somerset and Dorset",1996,1339084.0
TLK7,Gloucestershire and Wiltshire,1996,1139276.0
TLL3,North Wales,1996,654231.0
TLL4,Mid and South West Wales,1996,842375.0
TLL5,South East Wales,1996,1394698.0
TLM0,Eastern Scotland,1996,874950.0
TLM1,East Central Scotland,1996,903980.0
TLM2,Highlands and Islands,1996,596620.0
TLM3,West Central Scotland,1996,1476620.0
TLM5,North Eastern Scotland,1996,445340.0
TLM9,Southern Scotland,1996,932290.0
TLN0,Northern Ireland,1996,0.0
TLC3,Tees Valley,1997,652274.0
TLC4,"Northumberland, Durham and Tyne & Wear",1997,1915792.0
TLD1,Cumbria,1997,488170.0
TLD3,Greater Manchester,1997,2521923.0
TLD4,Lancashire,1997,1411672.0
TLD6,Cheshire,1997,858856.0
TLD7,Merseyside,1997,1513757.0
TLE1,East Yorkshire and Northern Lincolnshire,1997,878198.0
TLE2,North Yorkshire,1997,730421.0
TLE3,South Yorkshire,1997,1276198.0
TLE4,West Yorkshire,1997,2072744.0
TLF1,Derbyshire and Nottinghamshire,1997,1971819.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1997,1527345.0
TLF3,Lincolnshire,1997,621156.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1997,1197954.0
TLG2,Shropshire and Staffordshire,1997,1472857.0
TLG3,West Midlands,1997,2591467.0
TLH2,Bedfordshire and Hertfordshire,1997,1558373.0
TLH3,Essex,1997,1578675.0
TLH4,Cambridgeshire and Peterborough,1997,695334.0
TLH5,Norfolk,1997,774473.0
TLH6,Suffolk,1997,660060.0
TLI3,Inner London - West,1997,931528.0
TLI4,Inner London - East,1997,1740839.0
TLI5,Outer London - East and North East,1997,1534460.0
TLI6,Outer London - South,1997,1124060.0
TLI7,Outer London - West and North West,1997,1683951.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,2057216.0
TLJ2,"Surrey, East and West Sussex",1997,2502230.0
TLJ3,Hampshire and Isle of Wight,1997,1748237.0
TLJ4,Kent,1997,1545419.0
TLK3,Cornwall and Isles of Scilly,1997,485114.0
TLK4,Devon,1997,1051923.0
TLK5,West of England,1997,790207.0
TLK6,"North Somerset, Somerset and Dorset",1997,1348771.0
TLK7,Gloucestershire and Wiltshire,1997,1151304.0
TLL3,North Wales,1997,654785.0
TLL4,Mid and South West Wales,1997,843028.0
TLL5,South East Wales,1997,1397058.0
TLM0,Eastern Scotland,1997,874480.0
TLM1,East Central Scotland,1997,908120.0
TLM2,Highlands and Islands,1997,595640.0
TLM3,West Central Scotland,1997,1467800.0
TLM5,North Eastern Scotland,1997,443320.0
TLM9,Southern Scotland,1997,931670.0
TLN0,Northern Ireland,1997,0.0
TLC3,Tees Valley,1998,652787.0
TLC4,"Northumberland, Durham and Tyne & Wear",1998,1908096.0
TLD1,Cumbria,1998,489033.0
TLD3,Greater Manchester,1998,2521915.0
TLD4,Lancashire,1998,1412688.0
TLD6,Cheshire,1998,861767.0
TLD7,Merseyside,1998,1506770.0
TLE1,East Yorkshire and Northern Lincolnshire,1998,876664.0
TLE2,North Yorkshire,1998,734384.0
TLE3,South Yorkshire,1998,1273604.0
TLE4,West Yorkshire,1998,2073051.0
TLF1,Derbyshire and Nottinghamshire,1998,1974703.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,1531948.0
TLF3,Lincolnshire,1998,625994.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,1205431.0
TLG2,Shropshire and Staffordshire,1998,1479300.0
TLG3,West Midlands,1998,2586621.0
TLH2,Bedfordshire and Hertfordshire,1998,1569592.0
TLH3,Essex,1998,1586716.0
TLH4,Cambridgeshire and Peterborough,1998,700823.0
TLH5,Norfolk,1998,780863.0
TLH6,Suffolk,1998,664034.0
TLI3,Inner London - West,1998,933846.0
TLI4,Inner London - East,1998,1765363.0
TLI5,Outer London - East and North East,1998,1540391.0
TLI6,Outer London - South,1998,1128731.0
TLI7,Outer London - West and North West,1998,1697166.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,2067712.0
TLJ2,"Surrey, East and West Sussex",1998,2512816.0
TLJ3,Hampshire and Isle of Wight,1998,1756246.0
TLJ4,Kent,1998,1552064.0
TLK3,Cornwall and Isles of Scilly,1998,488031.0
TLK4,Devon,1998,1055269.0
TLK5,West of England,1998,793717.0
TLK6,"North Somerset, Somerset and Dorset",1998,1356789.0
TLK7,Gloucestershire and Wiltshire,1998,1155658.0
TLL3,North Wales,1998,656936.0
TLL4,Mid and South West Wales,1998,843596.0
TLL5,South East Wales,1998,1398989.0
TLM0,Eastern Scotland,1998,873680.0
TLM1,East Central Scotland,1998,911800.0
TLM2,Highlands and Islands,1998,594620.0
TLM3,West Central Scotland,1998,1462670.0
TLM5,North Eastern Scotland,1998,441870.0
TLM9,Southern Scotland,1998,929900.0
TLN0,Northern Ireland,1998,0.0
TLC3,Tees Valley,1999,651261.0
TLC4,"Northumberland, Durham and Tyne & Wear",1999,1899053.0
TLD1,Cumbria,1999,488145.0
TLD3,Greater Manchester,1999,2515488.0
TLD4,Lancashire,1999,1410858.0
TLD6,Cheshire,1999,860850.0
TLD7,Merseyside,1999,1497774.0
TLE1,East Yorkshire and Northern Lincolnshire,1999,874966.0
TLE2,North Yorkshire,1999,739157.0
TLE3,South Yorkshire,1999,1269924.0
TLE4,West Yorkshire,1999,2072278.0
TLF1,Derbyshire and Nottinghamshire,1999,1977966.0
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,1541768.0
TLF3,Lincolnshire,1999,632709.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,1208941.0
TLG2,Shropshire and Staffordshire,1999,1480814.0
TLG3,West Midlands,1999,2582204.0
TLH2,Bedfordshire and Hertfordshire,1999,1583397.0
TLH3,Essex,1999,1597427.0
TLH4,Cambridgeshire and Peterborough,1999,704102.0
TLH5,Norfolk,1999,786454.0
TLH6,Suffolk,1999,667342.0
TLI3,Inner London - West,1999,958349.0
TLI4,Inner London - East,1999,1792367.0
TLI5,Outer London - East and North East,1999,1549708.0
TLI6,Outer London - South,1999,1137408.0
TLI7,Outer London - West and North West,1999,1716080.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,2083133.0
TLJ2,"Surrey, East and West Sussex",1999,2542247.0
TLJ3,Hampshire and Isle of Wight,1999,1766641.0
TLJ4,Kent,1999,1563103.0
TLK3,Cornwall and Isles of Scilly,1999,492588.0
TLK4,Devon,1999,1060583.0
TLK5,West of England,1999,799681.0
TLK6,"North Somerset, Somerset and Dorset",1999,1362514.0
TLK7,Gloucestershire and Wiltshire,1999,1165592.0
TLL3,North Wales,1999,657902.0
TLL4,Mid and South West Wales,1999,844110.0
TLL5,South East Wales,1999,1398587.0
TLM0,Eastern Scotland,1999,873450.0
TLM1,East Central Scotland,1999,916260.0
TLM2,Highlands and Islands,1999,593940.0
TLM3,West Central Scotland,1999,1456410.0
TLM5,North Eastern Scotland,1999,441870.0
TLM9,Southern Scotland,1999,927180.0
TLN0,Northern Ireland,1999,0.0
TLC3,Tees Valley,2000,651860.0
TLC4,"Northumberland, Durham and Tyne & Wear",2000,1891561.0
TLD1,Cumbria,2000,487602.0
TLD3,Greater Manchester,2000,2516339.0
TLD4,Lancashire,2000,1414141.0
TLD6,Cheshire,2000,862976.0
TLD7,Merseyside,2000,1493165.0
TLE1,East Yorkshire and Northern Lincolnshire,2000,873900.0
TLE2,North Yorkshire,2000,744717.0
TLE3,South Yorkshire,2000,1266337.0
TLE4,West Yorkshire,2000,2073655.0
TLF1,Derbyshire and Nottinghamshire,2000,1978848.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2000,1549065.0
TLF3,Lincolnshire,2000,640163.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2000,1214415.0
TLG2,Shropshire and Staffordshire,2000,1483811.0
TLG3,West Midlands,2000,2571400.0
TLH2,Bedfordshire and Hertfordshire,2000,1593458.0
TLH3,Essex,2000,1607515.0
TLH4,Cambridgeshire and Peterborough,2000,707984.0
TLH5,Norfolk,2000,793509.0
TLH6,Suffolk,2000,672506.0
TLI3,Inner London - West,2000,986415.0
TLI4,Inner London - East,2000,1818534.0
TLI5,Outer London - East and North East,2000,1558421.0
TLI6,Outer London - South,2000,1145567.0
TLI7,Outer London - West and North West,2000,1727775.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2000,2094772.0
TLJ2,"Surrey, East and West Sussex",2000,2549741.0
TLJ3,Hampshire and Isle of Wight,2000,1772932.0
TLJ4,Kent,2000,1573153.0
TLK3,Cornwall and Isles of Scilly,2000,497473.0
TLK4,Devon,2000,1071082.0
TLK5,West of England,2000,803726.0
TLK6,"North Somerset, Somerset and Dorset",2000,1372347.0
TLK7,Gloucestershire and Wiltshire,2000,1172446.0
TLL3,North Wales,2000,661356.0
TLL4,Mid and South West Wales,2000,845797.0
TLL5,South East Wales,2000,1399717.0
TLM0,Eastern Scotland,2000,873100.0
TLM1,East Central Scotland,2000,921150.0
TLM2,Highlands and Islands,2000,591520.0
TLM3,West Central Scotland,2000,1448340.0
TLM5,North Eastern Scotland,2000,440360.0
TLM9,Southern Scotland,2000,924830.0
TLN0,Northern Ireland,2000,0.0
TLC3,Tees Valley,2001,652233.0
TLC4,"Northumberland, Durham and Tyne & Wear",2001,1887857.0
TLD1,Cumbria,2001,487795.0
TLD3,Greater Manchester,2001,2516096.0
TLD4,Lancashire,2001,1417265.0
TLD6,Cheshire,2001,865460.0
TLD7,Merseyside,2001,1486369.0
TLE1,East Yorkshire and Northern Lincolnshire,2001,875682.0
TLE2,North Yorkshire,2001,751385.0
TLE3,South Yorkshire,2001,1266475.0
TLE4,West Yorkshire,2001,2083101.0
