itl2_code,itl2_name,year,inflow,outflow,net_migration
TLF3,Lincolnshire,2013,42592.0,40080.0,2512.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2013,63419.0,60620.0,2799.0
TLG2,Shropshire and Staffordshire,2013,70223.0,68638.0,1585.0
TLG3,West Midlands,2013,119644.0,128336.0,-8692.0
TLH2,Bedfordshire and Hertfordshire,2013,106136.0,100101.0,6035.0
TLH3,Essex,2013,88830.0,82171.0,6659.0
TLH4,Cambridgeshire and Peterborough,2013,52877.0,52555.0,322.0
TLH5,Norfolk,2013,49616.0,45316.0,4300.0
TLH6,Suffolk,2013,35637.0,33082.0,2555.0
TLI3,Inner London - West,2013,108681.0,123037.0,-14356.0
TLI4,Inner London - East,2013,199210.0,217495.0,-18285.0
TLI5,Outer London - East and North East,2013,109793.0,117019.0,-7226.0
TLI6,Outer London - South,2013,81196.0,79889.0,1307.0
TLI7,Outer London - West and North West,2013,131197.0,145674.0,-14477.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2013,144791.0,142285.0,2506.0
TLJ2,"Surrey, East and West Sussex",2013,175959.0,161490.0,14469.0
TLJ3,Hampshire and Isle of Wight,2013,111850.0,110562.0,1288.0
TLJ4,Kent,2013,100247.0,91806.0,8441.0
TLK3,Cornwall and Isles of Scilly,2013,22268.0,19168.0,3100.0
TLK4,Devon,2013,69523.0,64246.0,5277.0
TLK5,West of England,2013,62583.0,59802.0,2781.0
TLK6,"North Somerset, Somerset and Dorset",2013,73878.0,65358.0,8520.0
TLK7,Gloucestershire and Wiltshire,2013,67268.0,62472.0,4796.0
TLL3,North Wales,2013,28446.0,28559.0,-113.0
TLL4,Mid and South West Wales,2013,37770.0,38590.0,-820.0
TLL5,South East Wales,2013,62610.0,63553.0,-943.0
TLC3,Tees Valley,2014,25707.0,27433.0,-1726.0
TLC4,"Northumberland, Durham and Tyne & Wear",2014,82059.0,79459.0,2600.0
TLD1,Cumbria,2014,16080.0,15633.0,447.0
TLD3,Greater Manchester,2014,140277.0,146690.0,-6413.0
TLD4,Lancashire,2014,84628.0,86306.0,-1678.0
TLD6,Cheshire,2014,41354.0,38398.0,2956.0
TLD7,Merseyside,2014,66841.0,67791.0,-950.0
TLE1,East Yorkshire and Northern Lincolnshire,2014,40069.0,40351.0,-282.0
TLE2,North Yorkshire,2014,41363.0,39413.0,1950.0
TLE3,South Yorkshire,2014,54281.0,56182.0,-1901.0
TLE4,West Yorkshire,2014,93229.0,100024.0,-6795.0
TLF1,Derbyshire and Nottinghamshire,2014,131616.0,129717.0,1899.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2014,99260.0,97341.0,1919.0
TLF3,Lincolnshire,2014,48732.0,45446.0,3286.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2014,71608.0,67388.0,4220.0
TLG2,Shropshire and Staffordshire,2014,74069.0,73221.0,848.0
TLG3,West Midlands,2014,133241.0,143304.0,-10063.0
TLH2,Bedfordshire and Hertfordshire,2014,113900.0,110468.0,3432.0
TLH3,Essex,2014,99884.0,87056.0,12828.0
TLH4,Cambridgeshire and Peterborough,2014,55830.0,55213.0,617.0
TLH5,Norfolk,2014,51632.0,47580.0,4052.0
TLH6,Suffolk,2014,38132.0,35732.0,2400.0
TLI3,Inner London - West,2014,116821.0,132909.0,-16088.0
TLI4,Inner London - East,2014,214746.0,239299.0,-24553.0
TLI5,Outer London - East and North East,2014,121393.0,130904.0,-9511.0
